Frequency [Hz];Amplitude ratio;Phase shift [deg]
1096;1.4772608963029203;-4.383800176227724
1101;1.4831518517265874;-4.425525414436502
1106;1.4891092261506718;-4.4676307877040164
1111;1.4951339675223854;-4.510121748410895
1116;1.5012270425822816;-4.553003858770386
1121;1.5073894373196928;-4.596282793531628
1126;1.5136221574414266;-4.6399643427636645
1131;1.519926228854111;-4.684054414722964
1136;1.526302698160749;-4.728559038807349
1141;1.5327526331718213;-4.773484368599347
1146;1.5392771234315659;-4.818836685002054
1151;1.5458772807598888;-4.864622399470902
1156;1.5525542398104355;-4.9108480573445386
1161;1.5593091586454089;-4.957520341278446
1166;1.5661432193276952;-5.004646074785035
1171;1.5730576285309283;-5.052232225883904
1176;1.5800536181680647;-5.10028591086627
1181;1.5871324460391647;-5.148814398177763
1186;1.5942953964990636;-5.1978251124239705
1191;1.6015437811455957;-5.247325638502958
1196;1.60887893952911;-5.297323725869669
1201;1.6163022398841072;-5.3478272929371675
1206;1.6238150798836721;-5.398844431619435
1211;1.6314188874176248;-5.450383412021401
1216;1.6391151213952186;-5.502452687281566
1221;1.6469052725732476;-5.555060898572934
1226;1.6547908644105227;-5.608216880268317
1231;1.6627734539496928;-5.661929665276351
1236;1.6708546327273914;-5.716208490554605
1241;1.679036027713779;-5.771062802806835
1246;1.687319302282544;-5.8265022643711095
1251;1.6957061572125414;-5.882536759306787
1256;1.7041983317222675;-5.939176399687717
1261;1.7127976045382978;-5.996431532109808
1266;1.7215057949991517;-6.054312744421691
1271;1.7303247641957642;-6.112830872687072
1276;1.739256416150073;-6.1719970083881535
1281;1.748302699033137;-6.231822505879798
1286;1.7574656064243475;-6.292318990104638
1291;1.7667471786132454;-6.353498364579458
1296;1.7761495039457171;-6.415372819664262
1301;1.785674720216207;-6.4779548411254035
1306;1.7953250161078165;-6.541257219004989
1311;1.8051026326821322;-6.605293056809188
1316;1.8150098649207933;-6.670075781028844
1321;1.825049063320859;-6.735619151006359
1326;1.8352226355460532;-6.801937269163087
1331;1.8455330481362813;-6.86904459160317
1336;1.8559828282776045;-6.936955939109221
1341;1.8665745656352382;-7.005686508546931
1346;1.8773109142520925;-7.0752518846963826
1351;1.8881945945155576;-7.145668052528202
1356;1.8992283951953182;-7.216951409944168
1361;1.9104151755551577;-7.289118781002666
1366;1.9217578675417908;-7.362187429650152
1371;1.9332594780539236;-7.436175073981143
1376;1.9449230912949949;-7.511099901050578
1381;1.9567518712129461;-7.586980582262641
1386;1.9687490640308605;-7.663836289362812
1391;1.9809180008722134;-7.741686711059814
1396;1.9932621004847928;-7.820552070306665
1401;2.0057848720675735;-7.90045314227088
1406;2.0184899182048;-7.981411273025405
1411;2.03138093791212;-8.063448398994089
1416;2.044461729799434;-8.146587067186728
1421;2.057736195355615;-8.230850456260518
